company,year,Price,kms_driven,fuel_type,model
Ford,2001,45000,65000,Petrol,Ikon 1.3
Toyota,2010,940000,131000,Diesel,Fortuner 3.0
Tata,2010,155555,111111,Petrol,Manza ELAN
Mercedes,2013,1500000,14000,Petrol,Benz A
Chevrolet,2016,210000,22000,Diesel,Beat LS
Ford,2013,495000,38000,Diesel,EcoSport Trend
Tata,2016,125000,70000,Diesel,Indigo LS
Hyundai,2010,195000,36000,Petrol,i20 Magna
Volkswagen,2015,550000,34000,Diesel,Vento Highline
Renault,2015,270000,43000,Petrol,Kwid RXT
Ford,2014,500000,40000,Diesel,EcoSport Titanium
Honda,2016,240000,160000,Diesel,Amaze 1.5
Hyundai,2017,800000,12000,Petrol,Verna 1.6
BMW,2011,1299000,49000,Diesel,5 Series
Skoda,2011,530000,68000,Petrol,Superb 1.8
Audi,2013,1499000,37000,Diesel,Q3 2.0
Mahindra,2012,220000,59466,Diesel,Bolero DI
Mahindra,2015,900000,97200,Diesel,Scorpio S10
Ford,2012,250000,99000,Diesel,Figo Duratorq
Maruti,2018,395000,25500,Petrol,Suzuki Wagon
Mahindra,2009,130000,66000,Petrol,Logan Diesel
Tata,2010,32000,44005,Petrol,Nano GenX
Mahindra,2016,540000,35000,Diesel,TUV300 T4
Mahindra,2016,540000,35000,Diesel,TUV300 T4
Hyundai,2015,405000,28000,Petrol,Elite i20
Hyundai,2015,400000,30000,Petrol,Elite i20
Honda,2017,760000,4000,Petrol,City SV
Maruti,2016,500000,28000,Petrol,Suzuki Baleno
Ford,2011,175000,75000,Petrol,Figo Petrol
Mahindra,2015,900000,97200,Diesel,Scorpio S10
Honda,2017,750000,3000,Petrol,City
Hyundai,2015,419000,20000,Petrol,Elite i20
Maruti,2004,90000,50000,Petrol,Suzuki Versa
Hyundai,2018,140000,2110,Petrol,Eon Era
Mitsubishi,2015,1540000,43222,Petrol,Pajero Sport
Hyundai,2008,275000,100200,Petrol,i10 Magna
Toyota,2003,150000,100000,Petrol,Corolla H2
Maruti,2011,230000,65,Petrol,Suzuki Swift
Tata,2015,123000,100000,Diesel,Indigo CS
Mahindra,2015,900000,97200,Diesel,Scorpio S10
Mahindra,2015,900000,97200,Diesel,Scorpio S10
Hyundai,2016,300000,140000,Diesel,Xcent Base
Honda,2015,499999,55000,Petrol,City
Hyundai,2009,165000,48000,Petrol,Accent Executive
Maruti,2016,498000,22000,Petrol,Suzuki Baleno
Tata,2018,480000,103553,Diesel,Zest XE
Maruti,2017,488000,80000,Diesel,Suzuki Dzire
Tata,2014,250000,99000,Diesel,Sumo Gold
Toyota,2010,220000,58000,Petrol,Corolla Altis
Maruti,2013,290000,70000,LPG,Suzuki Eeco
Toyota,2015,1525000,120000,Diesel,Fortuner 3.0
Mahindra,2013,548900,49800,Diesel,XUV500 W6
Tata,2019,650000,100,Diesel,Tigor Revotron
Maruti,2001,55000,81876,Petrol,Suzuki 800
Maruti,2015,550000,75000,Petrol,Suzuki Ertiga
Maruti,2004,90000,50000,Petrol,Suzuki Versa
Honda,2014,399000,44000,Diesel,Mobilio S
Maruti,2016,730000,55000,Diesel,Suzuki Ertiga
Maruti,2017,725000,36000,Diesel,Suzuki Vitara
Hyundai,2016,195000,56000,Diesel,Verna 1.6
Maruti,2007,130000,62000,Petrol,Suzuki Swift
Toyota,2015,1525000,120000,Diesel,Fortuner 3.0
Maruti,2014,190000,6020,Petrol,Suzuki Omni
Honda,2013,250000,55700,Diesel,Amaze
Tata,2005,80000,42000,Petrol,Indica
Hyundai,2003,120000,50000,Petrol,Santro Xing
Maruti,2010,149000,35000,Petrol,Suzuki Zen
Maruti,2014,250000,18500,Petrol,Suzuki Wagon
Maruti,2007,120000,7000,Petrol,Suzuki Wagon
Honda,2017,450000,11000,Petrol,Brio VX
Maruti,2003,99999,53000,Petrol,Suzuki Zen
Maruti,2008,135000,23000,Petrol,Suzuki Zen
Maruti,2016,225000,35500,Diesel,Suzuki Wagon
Maruti,2010,99000,22134,Petrol,Suzuki Alto
Renault,2019,370000,1000,Petrol,Kwid RXT
Tata,2010,52000,9000,Petrol,Nano Lx
Jaguar,2016,2800000,8500,Petrol,XE XE
Hyundai,2014,190000,35000,Petrol,Eon Magna
Honda,2014,499000,22000,Petrol,City 1.5
Hindustan,2002,90000,25000,Diesel,Motors Ambassador
Maruti,2010,149000,40000,Petrol,Suzuki Ritz
Hyundai,2017,400000,20000,Petrol,Grand i10
Hyundai,2016,120000,87000,Petrol,Eon D
Maruti,2015,250000,55000,Petrol,Suzuki Swift
Maruti,2017,375000,23000,Petrol,Suzuki Wagon
Honda,2014,381000,6000,Petrol,Amaze 1.2
Maruti,2013,180000,65000,Petrol,Suzuki Estilo
Maruti,2016,580000,25000,Diesel,Suzuki Vitara
Maruti,2015,278000,39000,Petrol,Suzuki Eeco
Hyundai,2016,1000000,8000,Petrol,Creta 1.6
Mahindra,2013,690000,75000,Diesel,Scorpio Vlx
Maruti,2012,480000,51000,Diesel,Suzuki Ertiga
Mitsubishi,2006,85000,50000,Petrol,Lancer 1.8
Maruti,2001,40000,75000,Petrol,Suzuki Maruti
Maruti,2015,90000,55800,Petrol,Suzuki Alto
Hyundai,2015,340000,53000,Petrol,Grand i10
Hyundai,2018,260000,25000,Petrol,Eon D
Ford,2009,250000,56400,Petrol,Fiesta SXi
Maruti,2010,180000,72160,Diesel,Suzuki Ritz
Hyundai,2012,350000,10000,Diesel,Verna Fluidic
Maruti,2006,90001,48000,Petrol,Suzuki Wagon
Maruti,2007,115000,36000,Petrol,Suzuki Estilo
Audi,2012,1599000,11500,Diesel,A6 2.0
Maruti,2003,130000,133000,Petrol,Suzuki Wagon
Maruti,2009,159000,27000,Petrol,Suzuki Wagon
Maruti,2009,160000,35000,Petrol,Suzuki Wagon
Maruti,2010,110000,55000,Petrol,Suzuki Alto
Maruti,2016,425000,40000,Petrol,Suzuki Baleno
Hyundai,2019,900000,2000,Petrol,Verna 1.6
Maruti,2009,150000,45000,Petrol,Suzuki Swift
Hyundai,2009,110000,20000,Petrol,Getz Prime
Hyundai,2000,51999,88000,Petrol,Santro
Hyundai,2009,115000,20000,Petrol,Getz Prime
Chevrolet,2012,215000,65422,Diesel,Beat PS
Ford,2017,580000,10000,Petrol,EcoSport Trend
Maruti,2013,380000,35000,Petrol,Suzuki Dzire
Hyundai,2013,350000,117000,Diesel,Fluidic Verna
Tata,2005,35000,150000,Diesel,Indica V2
BMW,2011,1150000,72000,Diesel,X1 xDrive20d
Hyundai,2010,300000,10750,Petrol,i20 Asta
Honda,2009,269000,55000,Petrol,City 1.5
Tata,2013,60000,6800,Petrol,Nano
Chevrolet,2014,400000,41000,Diesel,Cruze LTZ
Hyundai,2015,430000,73000,Diesel,Verna Fluidic
Maruti,2011,140000,65000,Diesel,Suzuki Swift
Mahindra,2014,8500003,45000,Diesel,XUV500 W6
Mahindra,2018,1299000,40000,Diesel,XUV500 W10
Maruti,2014,199000,37000,Petrol,Suzuki Alto
Hyundai,2006,90000,55000,Petrol,Accent GLE
Force,2013,550000,140000,Diesel,Motors One
Maruti,2019,265000,9800,Petrol,Suzuki Alto
Chevrolet,2011,100000,27000,Petrol,Spark 1.0
Hyundai,2009,215000,27000,Petrol,i10
Toyota,2012,380000,20000,Diesel,Etios Liva
Renault,2013,401919,57923,Diesel,Duster 85PS
Chevrolet,2014,490000,30201,Diesel,Enjoy
Maruti,2017,280000,6200,Petrol,Suzuki Alto
BMW,2009,650000,37518,Petrol,5 Series
Toyota,2014,160000,24652,Petrol,Etios Liva
Mahindra,2004,424000,383,Diesel,Jeep MM
Chevrolet,2016,225000,95000,Diesel,Beat LS
Chevrolet,2011,350000,35000,Diesel,Cruze LTZ
Jeep,2015,950000,3528,Diesel,Wrangler Unlimited
Maruti,2013,485000,52500,Diesel,Suzuki Ertiga
Hyundai,2010,205000,47900,Diesel,Verna VGT
Maruti,2012,160000,14000,Petrol,Suzuki Omni
Maruti,2018,310000,37000,Petrol,Suzuki Celerio
Tata,2017,180000,90000,Diesel,Zest Quadrajet
Mahindra,2013,549900,52800,Diesel,XUV500 W6
Tata,2016,150000,104000,Diesel,Indigo CS
Hyundai,2011,175000,30000,Petrol,i10 Era
Tata,2014,95000,195000,Diesel,Indigo eCS
Tata,2016,230000,104000,Diesel,Indigo LX
Tata,2016,230000,104000,Diesel,Indigo eCS
Tata,2004,180000,70000,Diesel,Indigo Marina
Hyundai,2015,400000,43000,Diesel,Xcent SX
Hyundai,2013,185000,23000,Petrol,Eon Magna
Renault,2015,385000,51000,Diesel,Duster 85
Maruti,2009,90000,62000,Petrol,Suzuki Alto
Tata,2010,32000,48008,Petrol,Nano LX
Renault,2013,435000,39000,Diesel,Duster 110
Maruti,2010,225000,40000,Petrol,Suzuki Wagon
Maruti,2006,189700,48247,Petrol,Suzuki Swift
Maruti,2012,389700,39000,Diesel,Suzuki Ertiga
Maruti,2014,365000,23000,Petrol,Suzuki Swift
Maruti,2017,360000,9400,Petrol,Suzuki Alto
Hyundai,2010,210000,50000,Petrol,i20 Magna
Hyundai,2009,170000,75000,Petrol,i10 Magna
Tata,2017,380000,70000,Diesel,Zest XE
Mahindra,2009,295000,64000,Diesel,Xylo E8
Toyota,2010,185000,55000,Petrol,Corolla Altis
Tata,2014,160000,200000,Diesel,Manza Aqua
Renault,2018,290000,2137,Petrol,Kwid 1.0
Tata,2013,100000,30000,Diesel,Venture EX
Maruti,2014,315000,44000,Petrol,Suzuki Swift
Skoda,2006,114990,65000,Diesel,Octavia Classic
Maruti,2012,120000,160000,LPG,Suzuki Omni
Chevrolet,2011,125000,56000,Diesel,Beat Diesel
Tata,2012,210000,75000,Diesel,Sumo Gold
Hyundai,2018,855000,42000,Diesel,Verna 1.6
Tata,2012,210000,75000,Diesel,Sumo Gold
Mahindra,2007,260000,56000,Diesel,Scorpio 2.6
Maruti,2002,95000,10544,Petrol,Suzuki Zen
Maruti,2011,255000,64000,Petrol,Suzuki Swift
Mahindra,2008,300000,70000,Diesel,Scorpio SLX
Hyundai,2014,340000,25000,Petrol,Grand i10
Hyundai,2017,550000,15000,Petrol,Elite i20
Ford,2003,60000,50000,Petrol,Ikon 1.6
Toyota,2011,750000,147000,Diesel,Innova 2.5
Nissan,2011,230000,52000,Petrol,Sunny XL
Chevrolet,2012,130000,90001,Diesel,Beat LT
Maruti,2017,270000,21000,Petrol,Suzuki Alto
Maruti,2012,280000,48006,Diesel,Suzuki Swift
Maruti,2012,280000,48006,Diesel,Suzuki Swift
Maruti,2012,280000,48006,Diesel,Suzuki Swift
Toyota,2012,600000,80000,Diesel,Innova 2.0
Maruti,2010,190000,74000,Diesel,Suzuki Swift
Hyundai,2015,500000,22000,Petrol,Elite i20
Mahindra,2016,1065000,41000,Diesel,XUV500 W10
Volkswagen,2015,350000,25000,Diesel,Polo Trendline
Toyota,2012,350000,85000,Diesel,Etios Liva
Mahindra,2016,540000,29500,Diesel,TUV300 T4
Hyundai,2015,470000,30000,Petrol,Elite i20
Hyundai,2014,179000,57000,Petrol,Santro Xing
Maruti,2003,48000,60000,Petrol,Suzuki Zen
Maruti,2016,650000,50000,Petrol,Suzuki Ciaz
Hyundai,2013,190000,39700,Petrol,Eon Era
Hyundai,2012,500000,65000,Petrol,Elantra 1.8
Maruti,2010,270000,67000,Diesel,Suzuki Swift
Maruti,2008,125000,46000,Petrol,Suzuki Zen
Hyundai,2012,188000,38000,Petrol,Eon Era
Hyundai,2016,380000,27000,Petrol,Grand i10
Hyundai,2011,365000,43000,Diesel,Verna Fluidic
Ford,2014,465000,47000,Petrol,EcoSport Trend
Hyundai,2011,240000,42000,Petrol,i20 Magna
Chevrolet,2016,179999,19336,Diesel,Beat Diesel
Tata,2015,140000,60105,Diesel,Indica eV2
Jaguar,2013,2190000,29000,Diesel,XF 2.2
Audi,2014,2390000,34000,Diesel,Q5 2.0
BMW,2011,1075000,35000,Diesel,3 Series
Maruti,2015,475000,22000,Petrol,Suzuki Swift
BMW,2012,1025000,41000,Diesel,X1 sDrive20d
Maruti,2016,615000,21000,Diesel,Suzuki S
Maruti,2013,475000,48000,Diesel,Suzuki Ertiga
Maruti,2016,270000,38000,Petrol,Suzuki Alto
Honda,2014,475000,34000,Diesel,City SV
Volkswagen,2011,240000,45933,Petrol,Vento Comfortline
Honda,2005,120000,68000,Petrol,City 1.5
Audi,2016,1900000,44000,Diesel,A4 2.0
Mahindra,2017,360000,35000,Diesel,KUV100
Tata,2018,450000,102563,Diesel,Zest XE
Mahindra,2015,900000,28600,Diesel,XUV500 W8
Maruti,2017,650000,41800,Diesel,Suzuki Swift
Tata,2014,275000,116000,Diesel,Sumo Gold
Maruti,2009,210000,59000,Petrol,Suzuki Swift
Mahindra,2004,175000,58000,Diesel,Scorpio 2.6
Maruti,2009,85000,45000,Petrol,Suzuki Omni
Mitsubishi,2015,1490000,42590,Diesel,Pajero Sport
Renault,2014,800000,7400,Diesel,Duster
Volkswagen,2009,450000,54500,Diesel,Jetta Comfortline
Maruti,2012,1000000,200000,Diesel,Suzuki Ertiga
Audi,2013,1510000,27000,Diesel,A4 2.0
Volvo,2015,1850000,42000,Diesel,S80 Summum
Toyota,2014,790000,29000,Petrol,Corolla Altis
Mitsubishi,2015,1725000,37000,Diesel,Pajero Sport
Chevrolet,2012,135000,36000,Petrol,Beat LT
BMW,2011,1000000,34000,Diesel,X1
Datsun,2018,299999,7000,Petrol,Redi GO
Mercedes,2009,1225000,76000,Diesel,Benz C
Mahindra,2004,175000,60000,Diesel,Scorpio SLX
Volkswagen,2011,200000,95000,Diesel,Vento Comfortline
Tata,2017,270000,50000,Diesel,Indigo CS
Ford,2019,525000,0,Petrol,Figo Petrol
Honda,2006,180000,50000,Petrol,City ZX
Maruti,2008,140000,68000,Petrol,Suzuki Wagon
Ford,2014,400000,16000,Petrol,EcoSport Trend
Maruti,2016,499000,51000,Diesel,Suzuki Swift
Maruti,2009,85000,56000,Petrol,Suzuki Omni
Maruti,2004,70000,100000,Petrol,Suzuki Zen
Renault,2015,550000,36000,Petrol,Duster RxL
Maruti,2014,370000,11523,Petrol,Suzuki Swift
Maruti,2018,690000,1000,Petrol,Suzuki Baleno
Honda,2009,250000,60000,Petrol,WR V
Tata,2016,110000,85000,Diesel,Indigo CS
Renault,2013,490000,38600,Diesel,Duster 110
Mahindra,2009,320000,95500,Diesel,Scorpio LX
Maruti,2004,68000,56000,Petrol,Suzuki Zen
Maruti,2014,130000,37458,Petrol,Suzuki Wagon
Maruti,2016,970000,85960,Diesel,Suzuki SX4
Audi,2015,3100000,12516,Petrol,A3 Cabriolet
Hyundai,2018,280000,35000,Petrol,Eon D
Maruti,2009,125000,0,Petrol,Suzuki Zen
Mahindra,2008,285000,80000,Diesel,Scorpio SLX
Hyundai,2011,165000,45000,Petrol,Santro AE
Maruti,2009,250000,51000,Diesel,Suzuki Swift
Mahindra,2015,865000,30000,Diesel,Scorpio S4
Mahindra,2011,390000,48000,Diesel,Xylo D2
Hyundai,2003,60000,51000,Petrol,Santro
Chevrolet,2015,215000,90000,Diesel,Beat LT
Maruti,2015,475000,43000,Diesel,Suzuki Swift
Mahindra,2015,899000,53000,Diesel,XUV500 W8
Toyota,2013,1499000,97000,Diesel,Fortuner 3.0
Maruti,2013,240000,20000,Petrol,Suzuki Alto
Hyundai,2007,99000,55000,Petrol,Getz GLE
Maruti,2014,260000,120000,Diesel,Suzuki Swift
Hyundai,2019,1200000,0,Petrol,Creta 1.6
Hyundai,2007,115000,46000,Petrol,Santro Xing
Hyundai,2009,88000,43200,Petrol,Santro Xing
Mahindra,2011,390000,56000,Diesel,Xylo D2
Hyundai,2007,135000,42000,Petrol,Santro Xing
Tata,2009,90000,30600,Diesel,Indica V2
Hyundai,2011,220000,38000,Petrol,i10 Sportz
Hyundai,2017,424999,2550,Petrol,Grand i10
Hyundai,2007,135000,47000,Petrol,Santro Xing
Honda,2005,95000,41000,Petrol,City 1.5
Nissan,2017,430000,62500,Diesel,Micra XL
Honda,2005,115000,68000,Petrol,City 1.5
Maruti,2015,215000,50000,Petrol,Suzuki Alto
Maruti,2004,53000,69000,Petrol,Suzuki Wagon
Maruti,2012,500000,48000,Diesel,Suzuki Ertiga
Tata,2012,85000,55000,Diesel,Indica eV2
Maruti,2013,165000,25000,Petrol,Suzuki Omni
Hyundai,2014,200000,28400,Petrol,Eon Era
Hyundai,2014,200000,28000,Petrol,Eon
Maruti,2015,425000,42000,Diesel,Suzuki Swift
Hyundai,2012,600000,29000,Diesel,Verna 1.6
Chevrolet,2005,130000,68485,Diesel,Tavera LS
Tata,2018,430000,3500,Petrol,Tiago Revotron
Tata,2019,568500,0,Petrol,Tiago Revotorq
Maruti,2006,71000,32000,Petrol,Suzuki Zen
Mahindra,2018,560000,8000,Diesel,KUV100 K8
Ford,2014,590000,34000,Diesel,EcoSport Titanium
Hindustan,1995,750000,37000,Petrol,Motors Ambassador
Ford,2007,125000,85455,Diesel,Fusion 1.4
Hyundai,2007,135000,46000,Petrol,Santro Xing
Hyundai,2002,60000,47000,Petrol,Santro
Fiat,2009,120000,64000,Petrol,Linea Emotion
Ford,2008,95000,46000,Petrol,Ikon 1.3
Maruti,2017,240000,8000,Petrol,Suzuki Omni
Tata,2012,115000,64000,Diesel,Indica V2
Mahindra,2015,795000,63000,Diesel,Scorpio S4
Hyundai,2007,55000,65000,Petrol,Santro Xing
Mahindra,2009,300000,62000,Diesel,Xylo D2
Hyundai,2014,320000,41000,Petrol,Grand i10
Maruti,2015,265000,14000,Petrol,Suzuki Alto
Toyota,2006,160000,40000,Petrol,Corolla
Hyundai,2017,300000,1600,Petrol,Eon Magna
Tata,2010,130000,90000,Diesel,Sumo Grande
Maruti,2011,250000,58000,Diesel,Suzuki Swift
Volkswagen,2013,380000,27000,Petrol,Polo Highline1.2L
Maruti,2003,42000,60000,Petrol,Suzuki Alto
Tata,2017,400000,31000,Petrol,Tiago Revotron
Maruti,2009,120000,90000,Diesel,Suzuki Swift
Maruti,2009,120000,90000,Diesel,Suzuki Swift
Tata,2016,130000,150000,Diesel,Indigo eCS
Chevrolet,2014,189000,31000,Diesel,Beat LS
Mahindra,2011,365000,43000,Diesel,Xylo E8
Hyundai,2013,170000,20000,Petrol,Eon D
Tata,2013,215000,100000,Petrol,Sumo Gold
Tata,2013,60000,7000,Petrol,Nano
Hyundai,2017,599999,31000,Petrol,Elite i20
Hyundai,2009,400000,33000,Petrol,i10 Magna
Hyundai,2016,900000,60000,Diesel,Creta
Volkswagen,2013,299999,48000,Diesel,Polo
Maruti,2014,374999,33000,Petrol,Suzuki Dzire
Tata,2015,600000,15000,Petrol,Bolt XM
Maruti,2005,70000,47000,Petrol,Suzuki Alto
Maruti,2005,100000,40000,Petrol,Suzuki Alto
Maruti,2010,150000,38000,Diesel,Suzuki Ritz
Maruti,2017,225000,12500,Petrol,Suzuki Alto
Maruti,2009,210000,42000,Petrol,Suzuki Dzire
Hyundai,2014,425000,31000,Petrol,i20 Asta
Maruti,2008,162000,60000,Diesel,Suzuki Swift
Tata,2005,60000,80000,Diesel,Indica V2
Mahindra,2014,650000,77000,Diesel,Scorpio VLX
Toyota,2012,750000,75000,Diesel,Innova 2.5
Mahindra,2010,375000,40000,Diesel,Xylo E8
Hyundai,2011,230000,47000,Petrol,i20 Magna
Maruti,2000,35999,60000,Petrol,Suzuki Omni
Mahindra,2016,380000,26500,Petrol,KUV100
Mahindra,2019,560000,2875,Petrol,KUV100 K8
Datsun,2016,285000,13900,Petrol,Go Plus
Ford,2019,2900000,9000,Diesel,Endeavor 4x4
Tata,2005,39999,80000,Diesel,Indica V2
Hyundai,2006,85000,60000,Petrol,Santro Xing
Maruti,2016,395000,20000,Petrol,Suzuki Wagon
Maruti,2008,175000,58000,Diesel,Suzuki Swift
Maruti,2019,400000,1500,Petrol,Suzuki Alto
Toyota,2011,750000,75000,Diesel,Innova 2.5
Maruti,2016,250000,2450,Petrol,Suzuki Alto
Maruti,2019,425000,1625,Petrol,Suzuki Alto
Volkswagen,2017,525000,45000,Petrol,Polo Highline1.2L
Mahindra,2009,130000,65000,Diesel,Logan
Maruti,2000,30000,33400,Petrol,Suzuki 800
Mahindra,2011,475000,60123,Diesel,Scorpio
Chevrolet,2013,300000,28000,Petrol,Sail 1.2
Hyundai,2003,60000,70000,Petrol,Santro AE
Maruti,2006,100000,7000,Petrol,Suzuki Wagon
Hyundai,2018,260000,25000,Petrol,Eon
Tata,2015,100000,100000,Diesel,Manza
Toyota,2013,265000,42000,Petrol,Etios G
Hyundai,2009,115000,20000,Petrol,Getz Prime
Toyota,2003,180000,100000,Diesel,Qualis
Hyundai,2004,45000,137495,Petrol,Santro Xing
Tata,2016,50500,91200,Diesel,Indica eV2
Honda,2009,270000,55000,Petrol,City 1.5
Tata,2017,290000,120000,Diesel,Zest XE
Mahindra,2013,325000,63000,Diesel,Quanto C4
Tata,2016,160000,104000,Diesel,Indigo eCS
Maruti,2016,350000,146000,Diesel,Suzuki Swift
Hyundai,2011,290000,40000,Petrol,Elite i20
Hyundai,2011,290000,40000,Petrol,i20 Select
Chevrolet,2007,465000,100800,Diesel,Tavera Neo
Maruti,2016,325000,150000,Diesel,Suzuki Dzire
Hyundai,2018,510000,2100,Petrol,Elite i20
Honda,2016,860000,95000,Petrol,City VX
Maruti,2016,450000,2500,Diesel,Suzuki Dzire
Hyundai,2006,125000,80000,Petrol,Getz
Mercedes,2006,500001,15000,Petrol,Benz C
Maruti,2005,95000,65000,Petrol,Suzuki Alto
Maruti,2009,250000,51000,Diesel,Suzuki Swift
Skoda,2009,110000,45000,Petrol,Fabia
Maruti,2011,270000,50000,Petrol,Suzuki Ritz
Tata,2009,110000,30000,Diesel,Indica V2
Toyota,2009,300000,132000,Petrol,Corolla Altis
Tata,2018,260000,27000,Diesel,Zest XM
Mahindra,2013,390000,40000,Diesel,Quanto C8
